,date,driveInfo,sizeInMb,cost,dollarsPerGb
162,1999 December 1,Fujitsu IDE,27300.0,388.0,16.3
163,1999 December 1,,17300.0,225.0,15.0
164,2000 February 1,,10200.0,175.0,19.7
165,2000 February 1,Fujitsu,20400.0,299.0,16.9
166,2000 February 1,Fujitsu,13600.0,199.0,16.8
167,2000 February 1,,12900.0,187.99,16.8
168,2000 February 1,Fujitsu,13600.0,197.8,16.7
169,2000 February 1,,13000.0,186.0,16.5
170,2000 February 1,Fujitsu,17300.0,238.0,15.8
171,2000 February 1,Fujitsu,27300.0,375.0,15.8
172,2000 February 1,Fujitsu,17300.0,232.3,15.4
173,2000 February 1,,17300.0,215.0,14.3
174,2000 February 1,,20400.0,211.99,12.0
175,2000 April 1,IBM,20500.0,279.0,15.7
176,2000 April 1,Maxtor,15200.0,199.0,15.1
177,2000 April 1,Maxtor 7200 rpm,20000.0,259.0,14.9
178,2000 April 1,Maxtor UDMA,15000.0,192.0,14.7
179,2000 April 1,Seagate UDMA,17200.0,218.0,14.6
180,2000 April 1,Seagate UDMA,28000.0,349.0,14.3
181,2000 April 1,,17300.0,215.0,14.3
182,2000 April 1,IBM UDMA 5400 rpm,20300.0,245.0,13.9
183,2000 April 1,Maxtor UDMA,17000.0,204.0,13.8
184,2000 April 1,Maxtor 7200 rpm,27000.0,320.0,13.6
185,2000 April 1,,20400.0,239.0,13.5
186,2000 April 1,Maxtor UDMA,36500.0,411.0,13.0
187,2000 April 1,Maxtor UDMA,27000.0,299.0,12.7
188,2000 April 1,Western Digital UDMA,20000.0,218.0,12.5
189,2000 April 1,Maxtor UDMA,20000.0,217.0,12.5
190,2000 April 1,Maxtor UDMA,30000.0,308.0,11.8
191,2000 May 12,Western Digital Ultra ATA/66 5400 rpm,13600.0,179.99,15.2
192,2000 May 12,Maxtor UDMA/66 7200 rpm,30000.0,319.99,12.3
193,2000 May 12,Maxtor UDMA/66 7200 rpm,40000.0,399.99,11.5
194,2000 June 2,Maxtor UDMA/66 5400 rpm,15000.0,189.99,14.6
195,2000 August 1,Samsung,15000.0,162.0,12.4
196,2000 August 1,Maxtor IDE 7200rpm,30500.0,298.0,11.2
197,2000 August 1,Samsung,20000.0,175.0,10.1
198,2000 August 19-20,Maxtor 7200rpm 9ms,40900.0,388.0,10.9
199,2000 August 19-20,Maxtor 5400rpm,15300.0,144.0,10.8
200,2000 August 19-20,Maxtor 7200rpm 9ms,30700.0,278.0,10.4
201,2000 August 19-20,Maxtor 5400rpm,20400.0,164.0,9.25
202,2000 August 19-20,Maxtor 5400rpm,30700.0,214.0,8.02
203,2000 August 25,Maxtor 5400rpm,15000.0,149.99,11.5
204,2000 August 25,Maxtor 7200rpm,40000.0,349.99,10.1
205,2000 August 25,Maxtor 7200rpm UDMA/66,30000.0,249.99,9.58
206,2000 October 27,Maxtor 7200rpm,30700.0,244.0,9.17
207,2000 October 27,Maxtor 7200rpm,40900.0,318.0,8.93
208,2000 October 27,Maxtor 5400rpm,61400.0,398.0,7.46
209,2000 October 27,Maxtor 5400rpm,81900.0,518.0,7.3
210,2000 October 27,Maxtor 5400rpm,30700.0,194.0,7.25
211,2000 October 27,Maxtor 5400rpm,40900.0,254.0,7.14
212,2000 November 1,Maxtor 7200rpm UDMA/66,30000.0,,7.87
213,2000 December 13,Samsung,30000.0,189.0,7.25
214,2000 December 20,Maxtor Ultra ATA 66 5400 rpm,80000.0,479.99,6.9
215,2001 January 14,5400 rpm,61000.0,388.0,7.3
216,2001 January 14,5400 rpm,82000.0,518.0,7.25
217,2001 January 14,5400 rpm,40000.0,238.0,6.85
218,2001 April 25,Quantum 7200 rpm,40000.0,260.0,7.46
219,2001 April 25,Fujitsu 5400 rpm UDMA-100,30000.0,169.0,6.49
220,2001 April 25,Fujitsu 5400 rpm UDMA-100,40000.0,199.0,5.71
221,2001 May 1,5400 rpm,30000.0,178.0,6.8
222,2001 May 1,5400 rpm,82000.0,468.0,6.58
223,2001 May 1,5400 rpm,61000.0,344.0,6.49
224,2001 May 1,5400 rpm,40000.0,204.0,5.85
225,2001 June 28,Western Digital 7200 rpm EIDE,40000.0,219.99,6.33
226,2001 July 6,Maxtor UATA 7200 rpm,60000.0,329.99,6.33
227,2001 July 20,Western Digital 7200 rpm UATA,80000.0,,5.75
228,2001 August 31,Western Digital 7200 rpm UATA,60000.0,,4.41
229,2001 November 30,Western Digital 7200 rpm EIDE UATA-100,100000.0,,2.99
230,2001 December 1,Maxtor 5400 rpm IDE,40000.0,158.88,4.57
231,2002 March 8,Western Digital 5400 rpm EIDE Ultra ATA-100,40000.0,149.99,4.31
232,2002 July 27,Maxtor 7200 rpm IDE,40000.0,128.88,3.7
233,2002 August 9,Western Digital 7200 rpm EIDE Ultra ATA-100,100000.0,229.99,2.65
234,2002 August 16,Western Digital 7200 rpm Ultra ATA-100,60000.0,149.99,2.87
235,2002 August 16,Maxtor 7200 rpm EIDE Ultra ATA-133/100,80000.0,259.99,3.73
236,2002 August 23,Western Digital 5400 rpm EIDE Ultra ATA-100,40000.0,89.99,2.59
237,2002 August 30,Western Digital 7200 rpm EIDE Ultra ATA-100,100000.0,179.99,2.07
238,2002 September 6,Western Digital 7200 rpm,120000.0,269.99,2.59
239,2002 September 6,Western Digital 7200 rpm EIDE,40000.0,99.99,2.87
240,2002 September 20,Western Digital 5400 rpm EIDE Ultra ATA-100,40000.0,89.99,2.59
241,2002 September 20,Western Digital 7200 rpm Ultra ATA-100,60000.0,139.99,2.68
242,2003 October 11,Maxtor 7200 rpm IDE,40000.0,89.88,2.58
243,2003 October 11,Maxtor 7200 rpm IDE,120000.0,158.0,1.52
244,2003 November 29,Maxtor Serial ATA,80000.0,134.0,1.93
245,2003 November 29,Western Digital SMB cache,80000.0,124.0,1.78
246,2003 November 29,Maxtor Serial ATA,120000.0,168.0,1.61
247,2003 November 29,Western Digital SMB cache,120000.0,158.0,1.52
248,2003 November 29,Maxtor 7200 rpm IDE,80000.0,98.88,1.42
249,2003 November 29,Maxtor 7200 rpm IDE,120000.0,144.88,1.39
250,2004 March 27,Western Digital Caviar 7200rpm,160000.0,269.99,1.94
251,2004 March 27,Cicero 7200rpm,160000.0,269.95,1.94
252,2004 March 27,Western Digital 7200rpm,250000.0,369.99,1.7
253,2004 March 27,Western Digital,80000.0,109.0,1.57
254,2004 March 27,Maxtor 7200rpm IDE,80000.0,98.0,1.41
255,2004 March 27,Western Digital,120000.0,144.0,1.38
256,2004 March 27,Maxtor 7200rpm IDE,120000.0,129.0,1.24
257,2004 April 2,Western Digital Caviar 7200rpm 4.2ms avg. seek time,160000.0,169.99,1.22
258,2004 April 16,Western Digital Caviar SE 7200rpm,250000.0,249.99,1.15
259,2004 December 4,"Barracuda 7200.8 400GB, 7200RPM, Internal ATA/100",400000.0,280.0,0.7
260,2004 December 9,"250GB, 7200RPM, Internal ATA/133 Hard Drive",250000.0,180.0,0.72
261,2005 August 29,"400GB, 7200RPM, Internal ATA/100 Hard Drive",400000.0,300.0,0.75
262,2005 August 29,"Ultra16 250GB, 7200RPM, Internal ATA/133",250000.0,160.0,0.64
263,2005 December 12,Hitachi Deskstar 7K250 250GB Hard Drive,250000.0,130.0,0.52
264,2005 December 12,Seagate Barracuda 200GB Hard Drive,200000.0,140.0,0.7
265,2006 July 5,Maxtor Ultra16 300GB Hard Drive,300000.0,150.0,0.5
266,2006 July 5,Seagate Barracuda 7200.9 500GB Hard Drive,500000.0,300.0,0.6
267,2006 December 27,Western Digital Caviar SE16 250GB Hard Drive,250000.0,140.0,0.56
268,2006 December 27,Samsung 80GB Hard Drive,80000.0,35.0,0.44
269,2007 June 24,Seagate 250GB Hard Drive,250000.0,100.0,0.4
270,2007 June 24,Seagate 160GB Hard Drive,160000.0,70.0,0.44
271,2008 January 13,Seagate Barracuda 7200.10 750GB,750000.0,200.0,0.27
272,2008 January 13,Beyond Micro Monster Mobile 1TB,1000000.0,270.0,0.27
273,2008 July 20,Hitachi - DeskStar 750GB Internal Hard Drive Model OA34914 SKU: 8295793,750000.0,133.99,0.18
274,2008 July 20,Western Digital - Caviar GP 500GB Internal Hard Drive Model: WD5000CSRTL SKU: 8682311,500000.0,89.99,0.18
275,2009 July 24,HITACHI 0A38016 7200 RPM SATA 3.0Gb/s,1000000.0,74.99,0.07
276,2010 January 2,Hitachi 1 TB Deskstar SATA 7200 RPM 32 MB Cache Internal Hard Drive HD31000 IDK/7K,1000000.0,69.99,0.07
277,2010 August 31,"Seagate Barracuda 7200.11 ST31500341AS 1.5TB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive",1500000.0,84.99,0.06
278,2010 August 31,"Western Digital Caviar Green WD20EARS 2TB SATA 3.0Gb/s 3.5"" Internal Hard Drive -Bare Drive",2000000.0,119.99,0.06
279,2011 March 8,"Seagate Barracuda 7200.11 ST31500341AS 1.5TB 7200 RPM SATA 3.0Gb/s 3.5"" Internal Hard Drive -Bare Drive",1500000.0,69.99,0.05
280,2011 March 8,"Western Digital Caviar Green WD20EARS 2TB SATA 3.0Gb/s 3.5"" Internal Hard Drive -Bare Drive",2000000.0,79.99,0.04
281,2012 March 19,Seagate Barracuda Green 2TB SATA 6Gb/s 64MB Cache 3.5-Inch Internal Bare Drive ST2000DL003,2000000.0,94.99,0.05
282,2013 March 17,Seagate Barracuda 2 TB HDD SATA 6 Gb/s NCQ 64MB Cache 3.5-Inch Internal Bare Drive ST2000DM001,2000000.0,74.99,0.04
283,2013 March 17,"WD Red 3 TB NAS Hard Drive: 3.5 Inch, SATA III, 64 MB Cache - WD30EFRX",3000000.0,159.91,0.05
284,2014 March 4,"TOSHIBA DT01ACA300 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",3000000.0,99.99,0.03
285,2014 March 4,"Western Digital WD Green WD20EZRX 2TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",2000000.0,89.99,0.04
