type,latitude_deg,longitude_deg
heliport,40.07080078125,-74.93360137939453
small_airport,59.94919968,-151.695999146
small_airport,34.86479949951172,-86.77030181884766
heliport,35.608699798583984,-91.25489807128906
small_airport,34.305599212646484,-112.16500091552734
small_airport,35.350498199499995,-116.88800048799999
small_airport,40.62220001220703,-104.34400177001952
small_airport,28.64550018310547,-82.21900177001953
heliport,28.846599578857425,-82.34539794921875
small_airport,27.230899810791016,-80.96920013427734
small_airport,33.767501831054695,-84.06829833984375
heliport,33.884201049804695,-84.73390197753906
heliport,19.832500457763672,-155.98199462890625
small_airport,48.145301818847656,-116.21399688720705
heliport,41.64450073242188,-87.122802734375
small_airport,41.97840118408203,-89.5604019165039
heliport,41.51139831542969,-87.2605972290039
small_airport,40.02560043334961,-89.1229019165039
small_airport,38.72779846191406,-94.93049621582031
small_airport,37.409400939941406,-84.61969757080078
heliport,30.191944,-90.98083299999999
heliport,39.66529846191406,-89.70559692382812
small_airport,30.13629913330078,-92.4293975830078
small_airport,38.75709915161133,-75.75379943847656
heliport,43.94940185546875,-86.41670227050781
small_airport,46.29999923706055,-95.70030212402344
small_airport,37.202800750732,-94.412399291992
small_airport,48.537498474121094,-109.70500183105469
small_airport,39.47320175170898,-75.1852035522461
small_airport,36.08520126342773,-78.37139892578125
heliport,40.52090072631836,-74.47460174560547
small_airport,42.90010070800781,-77.49970245361328
small_airport,41.59090042114258,-84.14219665527344
heliport,39.74530029296875,-84.1874008178711
heliport,44.932899475097656,-123.12999725341795
heliport,39.94889831542969,-75.74690246582031
small_airport,41.2995,-80.211111
small_airport,40.37779998779297,-77.36530303955078
small_airport,44.1832008362,-122.08899688700001
small_airport,34.0093994140625,-80.26719665527344
heliport,32.82690048217773,-97.30580139160156
heliport,32.847599029541016,-97.1894989013672
small_airport,35.515899658203125,-85.95359802246094
small_airport,32.607601165771484,-97.24199676513672
heliport,29.73769950866699,-94.9802017211914
closed,37.24779891967773,-112.8219985961914
small_airport,36.57600021,-78.9991684
