age,gender,split,final
32,M,1:18:35,2:40:42
23,M,1:17:17,2:40:46
24,W,1:20:21,2:40:57
41,M,1:19:23,2:41:04
35,M,1:18:59,2:41:14
34,M,1:18:29,2:41:07
44,M,1:19:42,2:41:08
27,M,1:15:45,2:41:12
41,M,1:19:46,2:41:11
35,M,1:18:08,2:41:23
33,M,1:14:54,2:41:18
31,M,1:18:54,2:41:39
53,M,1:15:42,2:41:17
23,M,1:18:03,2:41:23
19,W,1:17:36,2:41:17
35,W,1:18:53,2:41:21
35,M,1:20:16,2:42:02
39,M,1:15:13,2:41:30
32,M,1:18:19,2:41:31
29,M,1:18:26,2:42:34
34,M,1:18:32,2:41:36
25,M,1:19:40,2:41:44
38,M,1:18:40,2:41:32
26,M,1:21:59,2:41:54
27,M,1:17:42,2:41:42
40,M,1:20:32,2:42:04
38,M,1:17:23,2:41:48
41,M,1:18:29,2:41:51
31,M,1:15:30,2:41:57
36,M,1:20:23,2:41:59
28,M,1:17:41,2:42:12
43,M,1:20:01,2:42:10
44,M,1:19:32,2:42:28
40,M,1:18:35,2:42:10
43,M,1:20:27,2:42:15
40,M,1:19:15,2:42:18
41,M,1:17:55,2:42:19
40,M,1:20:14,2:42:45
39,M,1:18:18,2:42:27
37,M,1:17:10,2:42:40
27,M,1:20:15,2:42:59
31,M,1:26:05,2:42:32
33,M,1:17:30,2:42:29
28,M,1:20:37,2:42:37
32,W,1:18:56,2:42:34
52,M,1:18:35,2:42:41
35,M,1:20:56,2:42:52
29,M,1:18:18,2:42:48
29,M,1:19:47,2:42:47
26,M,1:15:41,2:42:54
25,M,1:17:02,2:42:55
33,M,1:20:58,2:43:09
45,M,1:19:44,2:43:01
25,M,1:20:42,2:43:14
35,M,1:18:30,2:42:55
28,W,1:21:44,2:42:57
26,M,1:19:17,2:43:08
53,M,1:20:32,2:43:04
34,M,1:20:14,2:43:10
30,M,1:20:23,2:43:37
50,M,1:20:28,2:43:29
34,M,1:19:46,2:43:15
40,M,1:19:06,2:43:21
39,M,1:21:01,2:43:39
35,M,1:19:48,2:43:26
46,M,1:18:19,2:43:28
34,M,1:18:13,2:43:32
27,W,1:21:43,2:43:29
29,M,1:18:37,2:44:00
58,M,1:18:52,2:43:37
33,M,1:18:03,2:43:56
28,M,1:18:18,2:43:45
37,M,1:20:09,2:43:44
32,M,1:20:37,2:44:23
26,M,1:20:56,2:43:54
31,M,1:20:14,2:43:56
28,W,1:20:36,2:43:55
23,M,1:16:00,2:44:12
31,M,1:18:49,2:44:19
48,M,1:20:25,2:44:20
25,M,1:20:10,2:44:07
30,M,1:17:20,2:44:09
28,M,1:21:56,2:44:14
43,M,1:21:58,2:44:23
34,M,1:20:37,2:44:21
24,M,1:18:05,2:44:31
33,M,1:18:17,2:44:27
31,M,1:19:50,2:44:49
32,M,1:18:35,2:44:27
40,M,1:18:41,2:44:38
32,M,1:17:26,2:44:43
25,M,1:19:23,2:44:50
37,M,1:19:57,2:44:57
31,M,1:23:18,2:44:46
27,M,1:18:43,2:44:49
42,M,1:17:52,2:45:17
26,M,1:19:27,2:44:51
24,M,1:20:40,2:45:23
28,M,1:18:34,2:45:02
38,M,1:17:39,2:45:05
44,M,1:21:20,2:45:09
39,M,1:22:33,2:45:19
40,M,1:19:44,2:45:22
29,M,1:15:30,2:45:19
31,W,1:21:20,2:45:16
43,M,1:20:31,2:45:21
41,M,1:21:48,2:46:45
32,M,1:23:44,2:45:54
50,M,1:20:06,2:45:32
36,M,1:20:54,2:45:40
40,M,1:20:19,2:45:28
27,M,1:20:19,2:45:28
31,M,1:18:59,2:45:41
30,M,1:21:53,2:45:43
30,M,1:20:36,2:45:36
37,M,1:18:20,2:45:34
25,M,1:18:02,2:45:39
35,M,1:20:49,2:45:55
38,M,1:23:28,2:45:47
42,M,1:20:11,2:45:49
41,M,1:18:48,2:45:50
32,M,1:18:39,2:46:15
36,M,1:23:11,2:46:04
50,M,1:20:54,2:45:56
31,M,1:20:24,2:46:07
41,M,1:21:18,2:46:29
23,M,1:15:55,2:46:10
35,M,1:21:55,2:46:17
40,M,1:12:38,3:03:28
49,M,1:22:53,2:46:12
26,M,1:22:04,2:46:16
33,M,1:14:59,2:46:25
28,M,1:15:06,2:46:30
35,M,1:19:46,2:46:34
27,M,1:22:55,2:46:39
41,M,1:14:43,2:46:35
31,M,1:22:42,2:46:34
23,M,1:19:58,2:49:19
39,M,1:20:07,2:46:46
38,M,1:19:17,2:46:50
24,W,1:21:44,2:46:36
45,M,1:24:43,2:47:29
37,M,1:20:04,2:46:56
24,M,1:13:20,2:46:44
36,M,1:22:06,2:46:56
34,M,1:21:12,2:46:55
40,M,1:19:08,2:46:54
44,M,1:22:58,2:47:18
37,M,1:22:33,2:47:22
27,M,1:23:25,2:46:58
38,M,1:23:28,2:47:01
29,M,1:21:57,2:47:12
47,M,1:22:20,2:47:12
40,M,1:18:27,2:47:12
37,M,1:21:47,2:47:27
47,M,1:20:13,2:47:38
33,M,1:17:47,2:47:24
25,M,1:21:10,2:47:34
28,M,1:22:19,2:47:32
25,M,1:24:51,2:47:41
37,M,1:21:01,2:47:28
42,M,1:22:43,2:48:15
44,M,1:23:24,2:47:38
41,M,1:20:31,2:47:36
45,M,1:23:20,2:48:07
40,M,1:21:39,2:47:54
32,M,1:23:39,2:47:40
29,W,1:21:24,2:47:41
28,M,1:20:58,2:47:54
35,M,1:22:05,2:47:52
39,W,1:20:58,2:47:49
55,M,1:21:10,2:48:00
41,M,1:22:29,2:48:23
38,M,1:19:49,2:48:05
25,M,1:20:57,2:48:22
34,M,1:21:29,2:48:10
39,M,1:19:39,2:48:09
34,M,1:20:59,2:48:03
40,M,1:22:33,2:48:23
39,M,1:20:30,2:48:25
47,M,1:22:44,2:48:10
38,W,1:21:07,2:48:03
46,M,1:24:02,2:48:24
33,M,1:25:36,2:48:35
33,M,1:18:11,2:48:09
28,M,1:23:15,2:48:26
37,M,1:22:01,2:48:19
35,M,1:22:43,2:48:48
35,M,1:23:42,2:48:24
36,M,1:22:58,2:48:30
22,M,1:24:05,2:48:41
39,M,1:22:46,2:48:24
28,M,1:18:48,2:48:21
39,M,1:21:16,2:48:41
29,M,1:21:05,2:48:33
36,M,1:18:46,2:48:33
39,M,1:22:52,2:48:30
29,M,1:17:50,2:48:35
31,M,1:16:36,2:48:38
43,M,1:24:22,2:48:36
36,M,1:21:44,2:48:40
28,M,1:23:28,2:49:02
24,M,1:22:51,2:48:46
44,M,1:23:26,2:49:04
40,M,1:18:36,2:48:44
33,M,1:23:16,2:48:52
33,M,1:22:19,2:48:58
44,M,1:24:15,2:49:09
24,M,1:20:43,2:48:49
43,M,1:22:49,2:49:02
42,M,1:22:24,2:49:23
31,M,1:15:04,2:49:08
27,M,1:17:42,2:49:16
35,M,1:20:44,2:49:10
38,M,1:24:40,2:49:08
22,M,1:15:19,2:49:12
31,M,1:24:27,2:49:22
42,M,1:21:42,2:49:36
31,M,1:21:13,2:49:19
26,M,1:26:24,2:49:35
